Row	dataset	instruments_on_platform_attributed_to
80	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smia_28day-runningmean_v4	6
81	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smi_annual_v4	6
82	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smia_annual_v4	6
83	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smia_monthly-climatology_v4	6
84	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smid_monthly-climatology_v4	6
85	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smi_daily_v4	6
86	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smid_28day-runningmean_v4	6
87	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smi_7day_v4	6
88	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smia_7day_v4	6
89	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smia_seasonal-climatology_v4	6
90	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smia_cumulative_v4	6
91	http://data.globalchange.gov/dataset/nasa-podaac-geo_polar_blended-ospo-l4-glob-v1-0	5
92	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0192	5
93	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0530	5
94	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0477	5
95	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0611	5
96	http://data.globalchange.gov/dataset/nasa-podaac-abom-l4lrfnd-glob-gamssa_28km	5
97	http://data.globalchange.gov/dataset/nasa-podaac-dmi-l4uhfnd-nseabaltic-dmi_oi	5
98	http://data.globalchange.gov/dataset/nasa-podaac-jason-1_l2_ost_gdr_ver-c_binary	5
99	http://data.globalchange.gov/dataset/nasa-podaac-jpl_ourocean-l4uhfnd-glob-g1sst	5
100	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0532	5
101	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0046	5
102	http://data.globalchange.gov/dataset/nsidc-g02186	5
103	http://data.globalchange.gov/dataset/nasa-podaac-jason-1_l2_ost_sgdr_ver-c_binary	5
104	http://data.globalchange.gov/dataset/nasa-podaac-navo-l4hr1m-glob-k10_sst	5
105	http://data.globalchange.gov/dataset/nasa-podaac-reynolds_ncep_l4_sst_opt_interp_monthly_v2	5
106	http://data.globalchange.gov/dataset/nasa-ornldaac-717	5
107	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0116	5
108	http://data.globalchange.gov/dataset/nasa-podaac-geo_polar_blended_night-ospo-l4-glob-v1-0	5
109	http://data.globalchange.gov/dataset/nasa-podaac-ncdc-l4lrblend-glob-avhrr_amsr_oi	4
110	http://data.globalchange.gov/dataset/nsidc-0589	4
111	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0535	4
112	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0105	4
113	http://data.globalchange.gov/dataset/nasa-podaac-mw_ir_oi-remss-l4-glob-v4-0	4
114	http://data.globalchange.gov/dataset/nasa-podaac-jason-1_sgdr_netcdf	4
115	http://data.globalchange.gov/dataset/nasa-podaac-jpl-l4uhfnd-glob-mur	4
116	http://data.globalchange.gov/dataset/nasa-podaac-ostia-ukmo-l4-glob-v2-0	4
117	http://data.globalchange.gov/dataset/nasa-ornldaac-16	4
118	http://data.globalchange.gov/dataset/nasa-ornldaac-186	4
119	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0051	4
120	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0531	4
121	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0032	4
122	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0533	4
123	http://data.globalchange.gov/dataset/nasa-podaac-abom-l4hrfnd-aus-ramssa_09km	4
124	http://data.globalchange.gov/dataset/nasa-podaac-jpl-l4uhfnd-ncamerica-mur	4
125	http://data.globalchange.gov/dataset/nasa-ornldaac-481	4
126	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0001	4
127	http://data.globalchange.gov/dataset/nsidc-g02156	4
128	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0079	4
129	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_navoceano_l2_2km_mcsst_lac	3
130	http://data.globalchange.gov/dataset/nasa-podaac-goes_l3_sst_6km_nrt_sst_1hour	3
131	http://data.globalchange.gov/dataset/nasa-podaac-goes_l3_sst_6km_nrt_sst_3hour	3
132	http://data.globalchange.gov/dataset/nasa-podaac-jason-1_gdr_netcdf	3
133	http://data.globalchange.gov/dataset/nasa-podaac_mgdr	3
134	http://data.globalchange.gov/dataset/nasa-podaac-remss-l4hrfnd-glob-mw_ir_oi	3
135	http://data.globalchange.gov/dataset/nasa-podaac-topex_l2_ost_gdr_vms	3
136	http://data.globalchange.gov/dataset/nasa-ornldaac-1187	3
137	http://data.globalchange.gov/dataset/nasa-ornldaac-1146	3
138	http://data.globalchange.gov/dataset/nasa-ornldaac-641	3
139	http://data.globalchange.gov/dataset/nasa-ornldaac-677	3
140	http://data.globalchange.gov/dataset/nasa-ornldaac-680	3
141	http://data.globalchange.gov/dataset/nasa-ornldaac-686	3
142	http://data.globalchange.gov/dataset/nasa-ornldaac-718	3
143	http://data.globalchange.gov/dataset/nasa-ornldaac-839	3
144	http://data.globalchange.gov/dataset/nasa-nsidcdaac-0081	3
145	http://data.globalchange.gov/dataset/nasa-podaac-alt_tide_gauge_l4_ost_sla_us_west_coast	3
